model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.150,structure_factor_kmin,0.3117448605,0.0182580982,0.5000000000,5501,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.150,magnetization_abs,1.3682030008,0.0048198074,0.5000000000,5501,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.900_lam1.150,acceptance_rate,0.5116333333,0.0011095734,0.5000000000,5501,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.200,binder,0.6599395235,0.0009240907,0.5453669090,5027,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.200,xi_over_L,0.0926093237,0.0397437137,0.5453669090,5027,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.200,susceptibility,0.3368988716,0.0560468293,0.5453669090,5027,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.200,structure_factor_kmin,0.2642778049,0.0193767864,0.5453669090,5027,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.200,magnetization_abs,1.3277465414,0.0092615662,0.5453669090,5027,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.900_lam1.200,acceptance_rate,0.5213194444,0.0022432480,0.5000000000,5027,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.200,binder,0.6629827749,0.0006090498,0.5619545649,5289,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.200,xi_over_L,0.0532249145,0.0392061515,0.5619545649,5289,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.900_lam1.200,susceptibility,0.3199889347,0.0538850076,0.5619545649,5289,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.900000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
